shipment_id,shipment_date,carrier,origin_city,destination_city,weight_kg,delivery_days,status,product_category,shipping_cost_usd,delivery_notes,weight_kg_flag,delivery_days_flag
SHP-0000025,2024-12-25,"Blue Dart",Kaduna,Johannesburg,95.26,8,Returned,"Industrial Equipment",356.06,"Address correction applied.",0,0
SHP-0000026,2023-04-22,FedEx,"Port Harcourt",Casablanca,71.82,10,Delivered,Pharmaceuticals,317.65,"Customer requested weekend delivery.",0,0
SHP-0000027,2024-09-17,Aramex,"Benin City",Accra,8.31,2,Pending,"Automotive Parts",31.52,"Delayed due to customs clearance.",0,0
SHP-0000028,2024-03-22,Ekart,Lagos,Nairobi,79.42,3,Delayed,"Food & Beverage",187.77,"Fragile items — handle carefully.",0,0
SHP-0000029,2024-12-03,"Blue Dart",Kano,"Dar es Salaam",37.26,10,Pending,"Food & Beverage",121.1,"Left at front door per customer instruction.",0,0
SHP-0000030,2023-05-16,DHL,Ibadan,Cairo,22.19,16,Returned,Apparel,55.24,"Left at front door per customer instruction.",0,0
SHP-0000031,2024-05-04,Ekart,Lagos,Kampala,74.9,2,Pending,Furniture,331.02,"Customer requested weekend delivery.",0,0
SHP-0000032,2023-04-28,"Blue Dart",Abuja,Cairo,33.17,8,"In Transit",Cosmetics,63.34,"Left at front door per customer instruction.",0,0
SHP-0000033,2023-06-12,Aramex,"Benin City",Casablanca,65.44,7,Returned,"Books & Media",244.36,"Left at front door per customer instruction.",0,0
SHP-0000034,2024-10-28,DHL,Enugu,Casablanca,17.73,3,Pending,"Books & Media",71.9,"Left at front door per customer instruction.",0,0
SHP-0000035,2023-05-07,XpressBees,Abuja,"Dar es Salaam",12.26,15,Delivered,Electronics,32.18,"Weather delay in transit hub.",0,0
SHP-0000036,2024-11-25,UPS,Kano,Kigali,63.57,10,Returned,Toys,288.99,"Address correction applied.",0,0
SHP-0000037,2022-11-06,UPS,Ibadan,"Dar es Salaam",1.47,2,Pending,"Automotive Parts",3.76,,0,0
SHP-0000038,2024-10-21,FedEx,"Benin City","Addis Ababa",89.82,18,Lost,Pharmaceuticals,356.95,,0,0
SHP-0000039,2023-06-11,Delhivery,Kaduna,Kampala,64.62,9,Pending,"Automotive Parts",217.04,"Weather delay in transit hub.",0,0
SHP-0000040,2022-12-10,Aramex,Abuja,Accra,106.53,18,"In Transit",Apparel,356.55,,0,0
SHP-0000041,2023-07-30,DTDC,Enugu,"Addis Ababa",113.91,7,Delivered,"Industrial Equipment",213.9,"Returned to sender: recipient not found.",0,0
SHP-0000042,2022-11-18,UPS,Lagos,Cairo,13.64,12,Unknown,"Food & Beverage",50.81,"Partial delivery; remaining items en route.",0,0
SHP-0000043,2023-11-28,"Blue Dart",Lagos,Kampala,119.83,4,Delivered,"Industrial Equipment",203.36,"Returned to sender: recipient not found.",0,0
SHP-0000044,2023-05-21,XpressBees,Abuja,Nairobi,86.64,8,Returned,Apparel,211.19,,0,0
SHP-0000045,2024-01-07,FedEx,Lagos,Kampala,104.9,2,Pending,Cosmetics,364.02,"Returned to sender: recipient not found.",0,0
SHP-0000046,2023-07-25,XpressBees,Lagos,"Dar es Salaam",110.62,5,"In Transit",Electronics,341.98,"Customer requested weekend delivery.",0,0
SHP-0000047,2023-07-29,FedEx,"Port Harcourt",Kigali,51.17,7,Returned,Toys,179.17,"Weather delay in transit hub.",0,0
SHP-0000048,2022-03-27,Aramex,Unknown,Dakar,60.28,3,Unknown,Apparel,194.54,"Left at front door per customer instruction.",0,0
SHP-0000049,2023-03-26,Delhivery,Enugu,Nairobi,47.79,11,Pending,Cosmetics,182.97,,0,0
SHP-0000050,2022-08-18,UPS,Abuja,Casablanca,81.9,20,Pending,Apparel,277.98,"Priority shipment.",0,0
SHP-0000051,2024-02-28,DHL,Abuja,Kampala,88.8,19,Returned,Electronics,349.24,"Fragile items — handle carefully.",0,0
SHP-0000052,2024-02-23,Delhivery,"Port Harcourt","Dar es Salaam",6.76,11,Pending,Toys,16.9,"Priority shipment.",0,0
SHP-0000053,2023-04-27,FedEx,Kaduna,"Addis Ababa",88.78,21,Delivered,Pharmaceuticals,224.19,"Customer requested weekend delivery.",0,0
SHP-0000054,2022-08-29,XpressBees,Enugu,Kigali,99.85,6,Delayed,"Automotive Parts",332.68,"Delayed due to customs clearance.",0,0
SHP-0000055,2024-04-09,"Blue Dart","Benin City","Dar es Salaam",19.87,9,Pending,Apparel,60.56,"Customer requested weekend delivery.",0,0
SHP-0000056,2023-02-28,FedEx,Kano,"Addis Ababa",45.19,18,Delayed,Pharmaceuticals,106.68,"Customer requested weekend delivery.",0,0
SHP-0000057,NULL,XpressBees,"Port Harcourt",Kigali,36.49,20,Returned,Electronics,117.69,"Package handled with care.",0,0
SHP-0000058,2024-08-13,FedEx,Enugu,Kampala,2.93,13,Delivered,Apparel,10.84,,0,0
SHP-0000059,2023-06-01,UPS,"Benin City",Casablanca,93.25,2,Pending,Cosmetics,251.78,,0,0
SHP-0000060,2022-10-24,FedEx,Enugu,Dakar,116.86,17,Delivered,Toys,238.55,"Priority shipment.",0,0
SHP-0000061,2024-10-23,UPS,Enugu,"Addis Ababa",95.08,13,Delayed,Electronics,299.5,"Fragile items — handle carefully.",0,0
SHP-0000062,2023-01-02,DHL,"Benin City","Addis Ababa",44.35,11,Lost,Cosmetics,169.63,"Weather delay in transit hub.",0,0
SHP-0000063,2023-03-20,UPS,"Benin City",Casablanca,118.4,18,"In Transit",Pharmaceuticals,358.31,"Customer requested weekend delivery.",0,0
SHP-0000064,2023-01-03,DTDC,"Port Harcourt",Nairobi,57.7,19,Delayed,Furniture,146.19,,0,0
SHP-0000065,2024-07-02,DHL,"Port Harcourt",Cairo,112.94,9,Pending,"Food & Beverage",201.07,"Weather delay in transit hub.",0,0
SHP-0000066,2022-08-28,DTDC,Lagos,Accra,32.13,20,Delayed,"Food & Beverage",125.76,"Fragile items — handle carefully.",0,0
SHP-0000067,2024-12-05,DTDC,Enugu,"Addis Ababa",16.13,11,Returned,Apparel,69.94,"Customer requested weekend delivery.",0,0
SHP-0000068,2023-05-24,UPS,"Benin City","Dar es Salaam",55.14,2,Delayed,"Food & Beverage",222.85,,0,0
SHP-0000069,2023-07-23,XpressBees,Ibadan,Kampala,74.98,4,Pending,"Industrial Equipment",157.25,"Package handled with care.",0,0
SHP-0000070,2022-03-02,UPS,"Port Harcourt",Kigali,101.19,17,Pending,Electronics,356.33,,0,0
SHP-0000071,2024-12-04,"Blue Dart","Benin City",Kigali,29.44,20,"In Transit","Automotive Parts",112.61,,0,0
SHP-0000072,2022-04-07,Delhivery,Enugu,Casablanca,92.75,9,"In Transit","Food & Beverage",409.84,"Delayed due to customs clearance.",0,0
SHP-0000073,2024-12-08,Aramex,Kaduna,Dakar,35.21,12,Delayed,"Automotive Parts",81.45,"Fragile items — handle carefully.",0,0
SHP-0000074,2024-08-14,"Blue Dart",Kano,Dakar,16.93,6,Returned,"Automotive Parts",39.98,"Fragile items — handle carefully.",0,0
SHP-0000075,2024-10-10,DHL,"Port Harcourt",Cairo,94.66,10,"In Transit","Industrial Equipment",422.87,"Customer requested weekend delivery.",0,0
SHP-0000076,2024-02-23,DTDC,Ibadan,Accra,91,13,Delivered,Apparel,174.89,"Address correction applied.",0,0
SHP-0000077,2023-08-19,Aramex,Lagos,"Addis Ababa",37.16,10,Pending,"Automotive Parts",70.63,"Weather delay in transit hub.",0,0
SHP-0000078,2023-08-04,XpressBees,Kano,Kigali,84.6,2,"In Transit",Pharmaceuticals,343.77,,0,0
SHP-0000079,2024-06-24,DHL,Kaduna,Accra,3.1,60,Delayed,Cosmetics,13.34,"Package handled with care.",0,1
SHP-0000080,2023-03-22,Ekart,Kaduna,Dakar,64.95,6,"In Transit","Automotive Parts",244.77,,0,0
SHP-0000081,2024-04-25,Delhivery,Ibadan,Nairobi,112.38,3,"In Transit",Electronics,183.48,"Package handled with care.",0,0
SHP-0000082,2022-08-06,DTDC,Enugu,Cairo,33.38,6,Returned,"Industrial Equipment",117.3,"Left at front door per customer instruction.",0,0
SHP-0000083,2023-09-27,"Blue Dart",Ibadan,Cairo,116.15,8,Delivered,"Industrial Equipment",426.71,,0,0
SHP-0000084,2024-07-28,XpressBees,Kano,"Addis Ababa",23.21,16,Delayed,"Automotive Parts",88.81,"Priority shipment.",0,0
SHP-0000085,2023-04-25,FedEx,"Benin City","Addis Ababa",67.72,9,Delayed,Pharmaceuticals,148.31,"Returned to sender: recipient not found.",0,0
SHP-0000086,2024-10-13,Delhivery,"Benin City","Addis Ababa",110.07,2,Delivered,Electronics,301.28,,0,0
SHP-0000087,2022-08-23,"Blue Dart",Unknown,Kampala,500,17,"In Transit",Apparel,3519.51,"Priority shipment.",1,0
SHP-0000088,2023-02-20,Delhivery,Kano,Nairobi,11.67,2,Delivered,"Books & Media",29.1,"Returned to sender: recipient not found.",0,0
SHP-0000089,2022-03-08,Delhivery,Abuja,"Dar es Salaam",111.49,19,Returned,"Food & Beverage",247.67,"Returned to sender: recipient not found.",0,0
SHP-0000090,2023-05-31,FedEx,Enugu,Dakar,73.86,15,Returned,"Industrial Equipment",193.98,"Left at front door per customer instruction.",0,0
SHP-0000091,2022-05-14,FedEx,"Port Harcourt",Cairo,1.12,9,Delivered,Cosmetics,2.03,"Weather delay in transit hub.",0,0
SHP-0000092,2024-07-18,UPS,Abuja,Kampala,20.77,10,"In Transit","Books & Media",79.92,,0,0
SHP-0000093,2024-08-28,UPS,Kaduna,Kigali,51.96,20,Delayed,"Industrial Equipment",140.02,,0,0
SHP-0000094,2024-02-02,Aramex,Kaduna,Kigali,61.775,7,Delayed,"Books & Media",50.36,"Customer requested weekend delivery.",0,0
SHP-0000095,2023-10-20,Delhivery,Kaduna,"Addis Ababa",109.77,12,Lost,"Books & Media",273.85,"Fragile items — handle carefully.",0,0
SHP-0000096,2023-02-06,"Blue Dart",Kaduna,Kigali,58.19,3,"In Transit","Industrial Equipment",123.4,"Partial delivery; remaining items en route.",0,0
SHP-0000097,2024-12-18,Unknown,Enugu,Cairo,66.45,15,"In Transit","Books & Media",246.67,"Left at front door per customer instruction.",0,0
SHP-0000098,2023-08-28,FedEx,"Port Harcourt",Johannesburg,63.56,20,Pending,Toys,223.78,"Weather delay in transit hub.",0,0
SHP-0000099,2022-05-12,FedEx,"Port Harcourt",Dakar,58.66,6,"In Transit",Furniture,240.3,"Delayed due to customs clearance.",0,0
SHP-0000100,2023-08-20,Delhivery,"Benin City",Nairobi,4.41,15,Returned,Apparel,10.16,"Returned to sender: recipient not found.",0,0
SHP-0000101,2022-03-06,Ekart,Kano,Accra,52.97,8,Delayed,Toys,105.83,"Delayed due to customs clearance.",0,0
SHP-0000102,2022-04-03,UPS,Ibadan,"Dar es Salaam",97.91,14,Delayed,Pharmaceuticals,355.82,,0,0
SHP-0000103,2023-09-03,Ekart,Abuja,Nairobi,105.34,19,Delayed,Furniture,378.37,"Left at front door per customer instruction.",0,0
SHP-0000104,2022-12-05,DTDC,Enugu,Cairo,82.06,21,"In Transit",Electronics,228.41,,0,0
SHP-0000105,2023-04-14,DTDC,Enugu,Cairo,90.75,21,"In Transit",Cosmetics,138.65,"Left at front door per customer instruction.",0,0
SHP-0000106,2024-12-14,"Blue Dart",Enugu,Cairo,77.17,17,Returned,"Automotive Parts",150.8,"Delayed due to customs clearance.",0,0
SHP-0000107,2022-05-15,Ekart,Kaduna,Cairo,72.32,1,Pending,Toys,270.73,"Delayed due to customs clearance.",0,0
SHP-0000108,2024-02-08,FedEx,Lagos,"Addis Ababa",44.17,20,Lost,Electronics,118.99,"Left at front door per customer instruction.",0,0
SHP-0000109,2023-10-21,UPS,Ibadan,Johannesburg,70.58,21,Delayed,"Automotive Parts",124.12,"Weather delay in transit hub.",0,0
SHP-0000110,2022-03-27,Unknown,"Port Harcourt",Cairo,98.79,9,Delivered,"Books & Media",167.11,"Fragile items — handle carefully.",0,0
SHP-0000111,2024-02-10,UPS,Ibadan,Kigali,0.81,60,"In Transit",Electronics,3.44,"Priority shipment.",0,1
SHP-0000112,2023-01-21,FedEx,Abuja,Accra,114.51,10,Delivered,Electronics,271.94,"Delayed due to customs clearance.",0,0
SHP-0000113,2023-12-22,"Blue Dart",Kano,Dakar,58.9,13,Delivered,"Automotive Parts",288.74,"Address correction applied.",0,0
SHP-0000114,2022-05-25,DTDC,Abuja,Kampala,68.35,8,Returned,"Industrial Equipment",158.29,"Weather delay in transit hub.",0,0
SHP-0000115,2022-06-19,Ekart,Enugu,Johannesburg,11.31,18,Pending,"Automotive Parts",30.41,"Customer requested weekend delivery.",0,0
SHP-0000116,2022-02-18,XpressBees,"Benin City",Cairo,27.06,21,"In Transit",Unknown,45.82,"Customer requested weekend delivery.",0,0
SHP-0000117,2022-05-23,DHL,Lagos,Kigali,46.24,6,"In Transit",Toys,159.15,"Partial delivery; remaining items en route.",0,0
SHP-0000118,2022-04-05,XpressBees,Lagos,"Addis Ababa",68.1,1,Pending,Furniture,258.82,"Fragile items — handle carefully.",0,0
SHP-0000119,2023-01-21,DHL,Kano,Dakar,21.54,12,Pending,Toys,68.7,"Partial delivery; remaining items en route.",0,0
SHP-0000120,2024-04-22,Delhivery,Lagos,Accra,41.22,11,Delayed,Apparel,168.26,,0,0
SHP-0000121,2023-09-07,UPS,Kaduna,Casablanca,83.38,8,Returned,"Food & Beverage",307.38,"Left at front door per customer instruction.",0,0
SHP-0000122,2024-05-31,"Blue Dart",Abuja,Cairo,38.68,21,Delivered,"Automotive Parts",98.69,"Package handled with care.",0,0
SHP-0000123,2023-08-23,Ekart,Kaduna,Dakar,78.29,3,Delivered,Apparel,157.39,"Returned to sender: recipient not found.",0,0
SHP-0000124,2022-05-25,DHL,"Port Harcourt",Dakar,23.2,18,"In Transit","Books & Media",93.25,"Left at front door per customer instruction.",0,0
SHP-0000125,2022-05-17,"Blue Dart",Kano,"Dar es Salaam",94.29,9,"In Transit","Books & Media",267.53,"Delayed due to customs clearance.",0,0
SHP-0000126,2023-02-22,FedEx,Enugu,Dakar,100.98,18,Lost,Furniture,268.61,"Weather delay in transit hub.",0,0
SHP-0000127,2024-03-13,FedEx,"Benin City",Cairo,51.09,21,Pending,Apparel,161.91,"Returned to sender: recipient not found.",0,0
SHP-0000128,NULL,XpressBees,Abuja,Cairo,12.47,10,Returned,Furniture,36.4,"Weather delay in transit hub.",0,0
SHP-0000129,2024-08-03,DTDC,Lagos,"Dar es Salaam",36.72,4,Pending,Furniture,90.43,"Fragile items — handle carefully.",0,0
SHP-0000130,2022-10-19,Delhivery,Enugu,Kampala,48.7,18,"In Transit","Automotive Parts",80.44,"Priority shipment.",0,0
SHP-0000131,2023-12-23,DHL,"Benin City",Cairo,41.64,3,"In Transit","Automotive Parts",143.33,"Left at front door per customer instruction.",0,0
SHP-0000132,2024-03-08,UPS,Lagos,Kigali,77.31,12,Pending,Toys,139.69,"Priority shipment.",0,0
SHP-0000133,2024-05-22,FedEx,Enugu,"Addis Ababa",107.14,8,Lost,"Industrial Equipment",392.54,"Address correction applied.",0,0
SHP-0000134,2023-10-13,"Blue Dart",Kano,Casablanca,101.53,6,Delayed,Cosmetics,208.06,"Fragile items — handle carefully.",0,0
SHP-0000135,2022-12-12,DTDC,Ibadan,Nairobi,113.34,17,Lost,Electronics,221.28,"Weather delay in transit hub.",0,0
SHP-0000136,2023-12-12,UPS,Unknown,"Dar es Salaam",19.43,5,Returned,Furniture,31.34,"Package handled with care.",0,0
SHP-0000137,2023-05-16,DHL,Kano,"Addis Ababa",37.08,10,Lost,Pharmaceuticals,155.89,"Left at front door per customer instruction.",0,0
SHP-0000138,2022-01-30,DHL,"Port Harcourt",Accra,74.96,4,Pending,Furniture,235.51,,0,0
SHP-0000139,2024-12-01,XpressBees,"Port Harcourt",Nairobi,94.28,9,Pending,"Food & Beverage",296.46,"Partial delivery; remaining items en route.",0,0
SHP-0000140,NULL,"Blue Dart","Benin City",Nairobi,108.62,10,Pending,"Food & Beverage",383.46,"Package handled with care.",0,0
SHP-0000141,2022-01-16,DTDC,Ibadan,Nairobi,48.33,16,"In Transit",Electronics,194.92,"Partial delivery; remaining items en route.",0,0
SHP-0000142,2024-06-02,DTDC,"Port Harcourt",Casablanca,31.76,17,Lost,"Industrial Equipment",113.22,,0,0
SHP-0000143,2023-01-22,UPS,Unknown,Cairo,20.27,11,Returned,"Books & Media",44.7,"Partial delivery; remaining items en route.",0,0
SHP-0000144,2022-05-17,"Blue Dart",Lagos,Dakar,95.12,17,Returned,"Industrial Equipment",375.7,"Weather delay in transit hub.",0,0
SHP-0000145,2024-07-20,FedEx,Unknown,"Addis Ababa",62.88,6,Delayed,Apparel,131.28,"Delayed due to customs clearance.",0,0
SHP-0000146,2023-12-11,Ekart,Abuja,Casablanca,60.94,18,Returned,Pharmaceuticals,60.36,,0,0
SHP-0000147,2024-07-21,Ekart,Kano,"Addis Ababa",49.82,10,Pending,Cosmetics,104.75,"Priority shipment.",0,0
SHP-0000148,2024-10-11,DTDC,Enugu,Kigali,89.87,14,Delivered,Electronics,188.7,"Address correction applied.",0,0
SHP-0000149,2024-11-27,Aramex,Lagos,Casablanca,103.85,8,Delayed,Electronics,276.52,"Priority shipment.",0,0
SHP-0000150,2024-05-07,Delhivery,Enugu,Kampala,23.62,3,Lost,Electronics,74.87,"Address correction applied.",0,0
SHP-0000151,2022-01-09,UPS,Lagos,Kigali,66.24,17,Delivered,Pharmaceuticals,206.08,"Delayed due to customs clearance.",0,0
SHP-0000152,2024-10-27,XpressBees,Lagos,"Addis Ababa",74.73,11,Delivered,Cosmetics,117.63,"Returned to sender: recipient not found.",0,0
SHP-0000153,2024-03-01,"Blue Dart",Abuja,Cairo,75.42,7,Delivered,"Books & Media",325.76,"Partial delivery; remaining items en route.",0,0
SHP-0000154,2023-05-31,XpressBees,Kano,Dakar,2.52,21,Pending,Apparel,7.58,"Weather delay in transit hub.",0,0
SHP-0000155,2022-05-15,DHL,Kano,Dakar,76.27,21,Lost,Pharmaceuticals,115.56,"Fragile items — handle carefully.",0,0
SHP-0000156,2023-04-19,"Blue Dart","Port Harcourt",Johannesburg,80.68,18,Pending,"Food & Beverage",296.64,"Customer requested weekend delivery.",0,0
SHP-0000157,2024-11-08,"Blue Dart","Benin City","Dar es Salaam",97.02,11,Delayed,"Food & Beverage",184.62,"Partial delivery; remaining items en route.",0,0
SHP-0000158,2023-11-23,UPS,Abuja,Cairo,75.38,17,Lost,Toys,121.36,"Returned to sender: recipient not found.",0,0
SHP-0000159,2024-01-04,Aramex,Abuja,Unknown,117.83,5,Lost,Pharmaceuticals,347.66,"Partial delivery; remaining items en route.",0,0
SHP-0000160,2022-12-27,XpressBees,Enugu,Casablanca,12.84,9,Lost,"Books & Media",33.33,"Returned to sender: recipient not found.",0,0
SHP-0000161,2023-01-26,DTDC,Enugu,Casablanca,500,17,"In Transit",Toys,3381.74,,1,0
SHP-0000162,2022-06-26,UPS,Kaduna,Accra,61.76,6,Returned,Toys,255.41,"Fragile items — handle carefully.",0,0
SHP-0000163,2022-12-03,UPS,Kaduna,Kigali,32.11,15,Delivered,Unknown,98.52,"Customer requested weekend delivery.",0,0
SHP-0000164,2024-07-29,XpressBees,Abuja,Cairo,0.41,14,"In Transit",Furniture,1.08,,0,0
SHP-0000165,2024-06-13,FedEx,Kaduna,Accra,61.754999999999995,11,Returned,"Food & Beverage",165.47,,0,0
SHP-0000166,2023-09-10,Delhivery,"Benin City","Dar es Salaam",17,8,"In Transit",Cosmetics,42.76,,0,0
SHP-0000167,2022-03-22,UPS,"Benin City",Dakar,73.28,13,Delayed,Electronics,290.24,"Delayed due to customs clearance.",0,0
SHP-0000168,2024-10-17,XpressBees,Kano,Accra,10.88,13,Delivered,Apparel,34.26,"Weather delay in transit hub.",0,0
SHP-0000169,2023-06-25,"Blue Dart",Kaduna,"Dar es Salaam",60.63,17,Lost,Furniture,193.38,"Partial delivery; remaining items en route.",0,0
SHP-0000170,2024-11-24,"Blue Dart",Kaduna,Johannesburg,114.68,60,Pending,"Industrial Equipment",492.46,"Weather delay in transit hub.",0,1
SHP-0000171,2023-02-22,"Blue Dart",Kano,Johannesburg,30.34,4,Pending,Electronics,94.79,"Weather delay in transit hub.",0,0
SHP-0000172,2023-05-05,Aramex,Ibadan,Kigali,NULL,6,Lost,Unknown,71.12,"Weather delay in transit hub.",0,0
SHP-0000173,2023-02-08,DTDC,"Benin City",Dakar,33.92,19,Delayed,"Automotive Parts",138.02,,0,0
SHP-0000174,NULL,UPS,Enugu,"Dar es Salaam",12.33,9,Returned,"Food & Beverage",39.22,"Package handled with care.",0,0
SHP-0000175,2023-10-02,XpressBees,Ibadan,Kampala,46.04,5,Pending,Toys,186.31,"Delayed due to customs clearance.",0,0
SHP-0000176,2023-05-02,Ekart,"Benin City","Addis Ababa",20.49,8,Delayed,"Automotive Parts",37.07,"Returned to sender: recipient not found.",0,0
SHP-0000177,2022-03-25,FedEx,"Port Harcourt",Dakar,75.36,5,Pending,Furniture,235.26,,0,0
SHP-0000178,2024-04-17,Ekart,Ibadan,Casablanca,44.21,1,"In Transit",Furniture,157.53,"Address correction applied.",0,0
SHP-0000179,2022-01-15,DHL,Kano,Kampala,77.7,3,Lost,"Food & Beverage",289.73,"Fragile items — handle carefully.",0,0
SHP-0000180,2022-10-11,Aramex,"Benin City",Accra,116.69,15,Unknown,"Automotive Parts",284.11,"Partial delivery; remaining items en route.",0,0
SHP-0000181,2024-12-18,UPS,Kaduna,Casablanca,60.96,8,"In Transit",Electronics,223.24,"Delayed due to customs clearance.",0,0
SHP-0000182,2024-01-05,UPS,Lagos,Kampala,24.25,7,Returned,Pharmaceuticals,78.91,"Package handled with care.",0,0
SHP-0000183,2024-06-21,DTDC,Kano,Nairobi,91.27,5,"In Transit","Industrial Equipment",352.82,"Partial delivery; remaining items en route.",0,0
SHP-0000184,2022-10-27,DHL,"Benin City",Kampala,42.05,20,Delivered,Furniture,150.54,,0,0
SHP-0000185,2024-02-25,FedEx,Kano,Nairobi,63.13,20,Pending,Cosmetics,102.99,"Package handled with care.",0,0
SHP-0000186,2022-10-11,Ekart,Ibadan,Johannesburg,25.44,3,Pending,"Books & Media",98.78,"Returned to sender: recipient not found.",0,0
SHP-0000187,2022-03-05,Ekart,Abuja,Johannesburg,30.23,18,Delayed,Furniture,84.08,"Returned to sender: recipient not found.",0,0
SHP-0000188,2023-09-16,Delhivery,Enugu,"Addis Ababa",99.23,18,Delayed,Furniture,267.05,"Weather delay in transit hub.",0,0
SHP-0000189,2022-01-26,Aramex,Kano,Accra,110.33,19,Delayed,"Food & Beverage",358.18,"Fragile items — handle carefully.",0,0
SHP-0000190,2024-06-05,DTDC,"Port Harcourt",Kigali,4.97,2,Returned,Apparel,10.84,"Package handled with care.",0,0
SHP-0000191,2024-09-11,DHL,"Port Harcourt",Johannesburg,116.54,3,Returned,"Industrial Equipment",374.6,"Fragile items — handle carefully.",0,0
SHP-0000192,2023-09-12,UPS,Kano,Kigali,29.93,11,Delivered,"Books & Media",62,"Address correction applied.",0,0
SHP-0000193,2022-09-20,Delhivery,"Benin City",Johannesburg,102.41,20,Unknown,Apparel,298.38,"Delayed due to customs clearance.",0,0
SHP-0000194,2022-11-13,UPS,Lagos,Kampala,94.81,21,Pending,"Industrial Equipment",147.64,"Delayed due to customs clearance.",0,0
SHP-0000195,2023-08-15,Delhivery,Abuja,Kampala,5.25,16,Pending,"Industrial Equipment",11.6,"Package handled with care.",0,0
SHP-0000196,2024-08-30,DHL,Ibadan,"Addis Ababa",46.17,21,Lost,"Food & Beverage",114.86,"Customer requested weekend delivery.",0,0
SHP-0000197,2024-06-21,Aramex,"Port Harcourt",Cairo,8.6,6,Unknown,"Industrial Equipment",23.58,,0,0
SHP-0000198,2023-03-02,DHL,Ibadan,Kigali,43.43,17,Delayed,"Books & Media",110.31,"Package handled with care.",0,0
SHP-0000199,2023-02-24,"Blue Dart",Abuja,Casablanca,55.18,2,Delayed,Toys,177.45,,0,0
SHP-0000200,2022-03-01,DHL,Kano,Dakar,91.94,15,Pending,"Books & Media",391.4,"Partial delivery; remaining items en route.",0,0
SHP-0000201,2023-12-03,XpressBees,Kaduna,Accra,24.63,21,Delayed,Apparel,70.15,"Left at front door per customer instruction.",0,0
SHP-0000202,2024-03-05,DHL,Enugu,Cairo,6.63,15,"In Transit",Electronics,14.98,"Returned to sender: recipient not found.",0,0
